class,species,stateProvi,decimalLat,decimalLon,year
Mammalia,Peromyscus maniculatus,Montana,47.26722,-109.7278,1938
Mammalia,Tamiasciurus hudsonicus,Montana,48.6567969,-113.4270158,1946
Mammalia,Reithrodontomys megalotis,Montana,45.9264443,-107.5744033,1946
Mammalia,Peromyscus maniculatus,Montana,46.9922,-107.68271,1946
Mammalia,Peromyscus maniculatus,Montana,45.9264443,-107.5744033,1946
Mammalia,Peromyscus maniculatus,Montana,45.9264443,-107.5744033,1946
Mammalia,Peromyscus maniculatus,Montana,45.9264443,-107.5744033,1946
Mammalia,Peromyscus maniculatus,Montana,45.9264443,-107.5744033,1946
Mammalia,Peromyscus maniculatus,Montana,45.9264443,-107.5744033,1946
Mammalia,Phenacomys intermedius,Montana,48.6671,-113.3821,1946
Mammalia,Microtus ochrogaster,Montana,47.1053,-104.7336,1946
Mammalia,Microtus ochrogaster,Montana,45.9264443,-107.5744033,1946
Mammalia,Microtus ochrogaster,Montana,47.1053,-104.7336,1946
Mammalia,Zapus princeps,Montana,48.6567969,-113.4270158,1946
Mammalia,Ochotona princeps,Montana,48.6671,-113.3821,1946
Mammalia,Ochotona princeps,Montana,46.9058,-110.8548,1939
Mammalia,Thomomys talpoides,Montana,45.60448,-110.25104,1947
Mammalia,Thomomys talpoides,Montana,45.60448,-110.25104,1947
Mammalia,Thomomys talpoides,Montana,45.60448,-110.25104,1947
Mammalia,Thomomys talpoides,Montana,45.1901,-108.4423,1947
Mammalia,Urocitellus columbianus,Montana,48.74504,-113.44943,1948
Mammalia,Microtus pennsylvanicus,Montana,48.4360019,-112.7894933,1948
Mammalia,Microtus pennsylvanicus,Montana,48.4360019,-112.7894933,1948
Mammalia,Microtus pennsylvanicus,Montana,48.4360019,-112.7894933,1948
Mammalia,Microtus pennsylvanicus,Montana,48.37417,-107.89602,1948
Mammalia,Microtus pennsylvanicus,Montana,48.37417,-107.89602,1948
Mammalia,Microtus pennsylvanicus,Montana,45.7382,-110.2267,1948
Mammalia,Microtus pennsylvanicus,Montana,45.7382,-110.2267,1948
Mammalia,Microtus ochrogaster,Montana,48.0718885,-104.4519579,1948
Mammalia,Microtus ochrogaster,Montana,45.9132445,-107.5594027,1948
Mammalia,Callospermophilus lateralis,Montana,47.5835028,-112.7615779,1949
Mammalia,Tamias amoenus,Montana,48.83859,-113.49163,1949
Mammalia,Tamias amoenus,Montana,47.5835028,-112.7615779,1949
Mammalia,Tamias amoenus,Montana,47.5835028,-112.7615779,1949
Mammalia,Tamias amoenus,Montana,47.5835028,-112.7615779,1949
Mammalia,Tamias amoenus,Montana,47.5835028,-112.7615779,1949
Mammalia,Tamias amoenus,Montana,47.5835028,-112.7615779,1949
Mammalia,Tamias amoenus,Montana,47.5835028,-112.7615779,1949
Mammalia,Peromyscus maniculatus,Montana,48.83859,-113.49163,1949
Mammalia,Peromyscus maniculatus,Montana,47.1053,-104.7336,1949
Mammalia,Peromyscus maniculatus,Montana,47.5835028,-112.7615779,1949
Mammalia,Peromyscus maniculatus,Montana,47.5835028,-112.7615779,1949
Mammalia,Microtus pennsylvanicus,Montana,47.5835028,-112.7615779,1949
Mammalia,Microtus ochrogaster,Montana,47.1053,-104.7336,1949
Mammalia,Urocitellus richardsonii,Montana,46.267,-110.772,1949
Mammalia,Taxidea taxus,Montana,46.9104154,-111.2840246,1949
